ordinal	index	mode	phase	addr	reg	command
325	81	0	clear	0x0049	0x0403	0x01490403
326	81	1	assert	0x0049	0x0403	0x06490403
327	81	1	clear	0x0049	0x0403	0x02490403
328	82	0	assert	0x004a	0x0000	0x054a0000
329	82	0	clear	0x004a	0x0000	0x014a0000
330	82	1	assert	0x004a	0x0000	0x064a0000
331	82	1	clear	0x004a	0x0000	0x024a0000
332	83	0	assert	0x004b	0x0000	0x054b0000
333	83	0	clear	0x004b	0x0000	0x014b0000
334	83	1	assert	0x004b	0x0000	0x064b0000
335	83	1	clear	0x004b	0x0000	0x024b0000
336	84	0	assert	0x004c	0x00ca	0x054c00ca
337	84	0	clear	0x004c	0x00ca	0x014c00ca
338	84	1	assert	0x004c	0x00ca	0x064c00ca
339	84	1	clear	0x004c	0x00ca	0x024c00ca
340	85	0	assert	0x004d	0x004b	0x054d004b
341	85	0	clear	0x004d	0x004b	0x014d004b
342	85	1	assert	0x004d	0x004b	0x064d004b
343	85	1	clear	0x004d	0x004b	0x024d004b
344	86	0	assert	0x004e	0x0004	0x054e0004
345	86	0	clear	0x004e	0x0004	0x014e0004
346	86	1	assert	0x004e	0x0004	0x064e0004
347	86	1	clear	0x004e	0x0004	0x024e0004
348	87	0	assert	0x004f	0x0000	0x054f0000
349	87	0	clear	0x004f	0x0000	0x014f0000
350	87	1	assert	0x004f	0x0000	0x064f0000
351	87	1	clear	0x004f	0x0000	0x024f0000
352	88	0	assert	0x0050	0x0010	0x05500010
353	88	0	clear	0x0050	0x0010	0x01500010
354	88	1	assert	0x0050	0x0010	0x06500010
355	88	1	clear	0x0050	0x0010	0x02500010
356	89	0	assert	0x0051	0x0010	0x05510010
357	89	0	clear	0x0051	0x0010	0x01510010
358	89	1	assert	0x0051	0x0010	0x06510010
359	89	1	clear	0x0051	0x0010	0x02510010
360	90	0	assert	0x0052	0x0010	0x05520010
361	90	0	clear	0x0052	0x0010	0x01520010
362	90	1	assert	0x0052	0x0010	0x06520010
363	90	1	clear	0x0052	0x0010	0x02520010
364	91	0	assert	0x0053	0x0010	0x05530010
365	91	0	clear	0x0053	0x0010	0x01530010
366	91	1	assert	0x0053	0x0010	0x06530010
367	91	1	clear	0x0053	0x0010	0x02530010
368	92	0	assert	0x0054	0x00c5	0x055400c5
369	92	0	clear	0x0054	0x00c5	0x015400c5
370	92	1	assert	0x0054	0x00c5	0x065400c5
371	92	1	clear	0x0054	0x00c5	0x025400c5
372	93	0	assert	0x0055	0x0006	0x05550006
373	93	0	clear	0x0055	0x0006	0x01550006
374	93	1	assert	0x0055	0x0006	0x06550006
375	93	1	clear	0x0055	0x0006	0x02550006
376	94	0	assert	0x0056	0x0007	0x05560007
377	94	0	clear	0x0056	0x0007	0x01560007
378	94	1	assert	0x0056	0x0007	0x06560007
379	94	1	clear	0x0056	0x0007	0x02560007
380	95	0	assert	0x0057	0x0080	0x05570080
381	95	0	clear	0x0057	0x0080	0x01570080
382	95	1	assert	0x0057	0x0080	0x06570080
383	95	1	clear	0x0057	0x0080	0x02570080
384	96	0	assert	0x0058	0x0000	0x05580000
385	96	0	clear	0x0058	0x0000	0x01580000
386	96	1	assert	0x0058	0x0000	0x06580000
387	96	1	clear	0x0058	0x0000	0x02580000
388	97	0	assert	0x0059	0x0000	0x05590000
389	97	0	clear	0x0059	0x0000	0x01590000
390	97	1	assert	0x0059	0x0000	0x06590000
391	97	1	clear	0x0059	0x0000	0x02590000
392	98	0	assert	0x005b	0x07de	0x055b07de
393	98	0	clear	0x005b	0x07de	0x015b07de
394	98	1	assert	0x005b	0x07de	0x065b07de
395	98	1	clear	0x005b	0x07de	0x025b07de
396	99	0	assert	0x005e	0x0000	0x055e0000
397	99	0	clear	0x005e	0x0000	0x015e0000
398	99	1	assert	0x005e	0x0000	0x065e0000
399	99	1	clear	0x005e	0x0000	0x025e0000
400	100	0	assert	0x005f	0x0800	0x055f0800
401	100	0	clear	0x005f	0x0800	0x015f0800
402	100	1	assert	0x005f	0x0800	0x065f0800
403	100	1	clear	0x005f	0x0800	0x025f0800
404	101	0	assert	0x0060	0x0008	0x05600008
405	101	0	clear	0x0060	0x0008	0x01600008
406	101	1	assert	0x0060	0x0008	0x06600008
407	101	1	clear	0x0060	0x0008	0x02600008
408	102	0	assert	0x0061	0x0000	0x05610000
409	102	0	clear	0x0061	0x0000	0x01610000
410	102	1	assert	0x0061	0x0000	0x06610000
411	102	1	clear	0x0061	0x0000	0x02610000
412	103	0	assert	0x0062	0x0000	0x05620000
413	103	0	clear	0x0062	0x0000	0x01620000
414	103	1	assert	0x0062	0x0000	0x06620000
415	103	1	clear	0x0062	0x0000	0x02620000
416	104	0	assert	0x0063	0x0000	0x05630000
417	104	0	clear	0x0063	0x0000	0x01630000
418	104	1	assert	0x0063	0x0000	0x06630000
419	104	1	clear	0x0063	0x0000	0x02630000
420	105	0	assert	0x0064	0x0000	0x05640000
421	105	0	clear	0x0064	0x0000	0x01640000
422	105	1	assert	0x0064	0x0000	0x06640000
423	105	1	clear	0x0064	0x0000	0x02640000
424	106	0	assert	0x0065	0x0000	0x05650000
425	106	0	clear	0x0065	0x0000	0x01650000
426	106	1	assert	0x0065	0x0000	0x06650000
427	106	1	clear	0x0065	0x0000	0x02650000
428	107	0	assert	0x0066	0x0000	0x05660000
429	107	0	clear	0x0066	0x0000	0x01660000
430	107	1	assert	0x0066	0x0000	0x06660000
431	107	1	clear	0x0066	0x0000	0x02660000
432	108	0	assert	0x0067	0x0000	0x05670000
433	108	0	clear	0x0067	0x0000	0x01670000
434	108	1	assert	0x0067	0x0000	0x06670000
435	108	1	clear	0x0067	0x0000	0x02670000
436	109	0	assert	0x006e	0x0000	0x056e0000
437	109	0	clear	0x006e	0x0000	0x016e0000
438	109	1	assert	0x006e	0x0000	0x066e0000
439	109	1	clear	0x006e	0x0000	0x026e0000
440	post	0	assert	0x0000	0x000d	0x0500000d
441	post	0	clear	0x0000	0x000d	0x0100000d
442	post	1	assert	0x0000	0x0005	0x06000005
443	post	1	clear	0x0000	0x0005	0x02000005
444	tail-setreg-9	0	assert	0x0009	0x7001	0x05097001
445	tail-setreg-9	0	clear	0x0009	0x7001	0x01097001
446	tail-setreg-9	1	assert	0x0009	0x6001	0x06096001
447	tail-setreg-9	1	clear	0x0009	0x6001	0x02096001
448	tail-setreg-8	0	assert	0x0008	0x0000	0x05080000
449	tail-setreg-8	0	clear	0x0008	0x0000	0x01080000
450	tail-setreg-8	1	assert	0x0008	0x0000	0x06080000
451	tail-setreg-8	1	clear	0x0008	0x0000	0x02080000
